# SIMBAD TAP cross-IDs fetched 2026-08-09
# unresolved: ['D564-8', 'D631-7', 'KK98-251']
# tap-errors: none
sparc_name,alias
UGC07232,UZC J121344.5+363806
UGC07232,Z 1211.2+3655
UGC07232,[M98c] 121113.6+365440
UGC07232,[TSA98] J121345.10+363743.23
UGC07232,[ZEH2003] RX J1213.7+3637  1
UGC07323,Gaia DR3 1539003403404045440
UGC07323,2MASX J12173687+4753209
UGC07323,BTS 111
UGC07323,LEDA   39423
UGC07323,MCG+08-22-098
UGC07323,NGC  4242
UGC07323,UGC  7323
UGC07323,Z 1215.0+4553
UGC07323,Z 243-61
UGC07323,UZC J121730.1+453709
UGC07323,[M98c] 121501.3+455400
UGC07323,SDSS J121730.17+453709.4
UGC07323,[KOV2009] 56
UGC07323,Gaia DR2 1539003403404045440
UGC07399,BTS 120
UGC07399,CASG 1557
UGC07399,DDO 119
UGC07399,LEDA   39840
UGC07399,MCG+08-23-006
UGC07399,NFGS 116
UGC07399,NGC  4288
UGC07399,TC 780
UGC07399,UGC  7399
UGC07399,UZC J122038.0+461730
UGC07399,Z 244-6
UGC07399,[MI94] Sm  73
UGC07399,2MASX J12203811+4617276
UGC07399,Z 1218.2+4635
UGC07399,SDSS J122038.14+461730.4
UGC07399,[KOV2009] 62
UGC07524,MaNGA 1-405438
UGC07524,MaNGA 12483-9102
UGC07524,WISE J122548.88+333248.8
UGC07524,Gaia DR3 4016037658643693696
UGC07524,[HSN2016] J186.45+33.54
UGC07524,[KRL2007b] 115
UGC07524,BTS 135
UGC07524,INTREF   495
UGC07524,KUG 1223+338
UGC07524,LEDA   40596
UGC07524,LJHY 102
UGC07524,MCG+06-27-053
UGC07524,NGC  4395
UGC07524,UGC  7524
UGC07524,Z 187-42
UGC07524,[CC2002] NGC 4395  99
UGC07524,[KVB99] 18
UGC07524,[KVC2005]  11
UGC07524,[LLJ2000] NGC  4395 X1
UGC07524,[MI94] Sm  77
UGC07524,[VDD93] 158
UGC07524,2MASX J12254892+3332482
UGC07524,UZC J122549.0+333251
UGC07524,SWIFT J1202.5+3332
UGC07524,CAIRNS J122548.92+333248.4
UGC07524,Z 1223.4+3349
UGC07524,[CHM2007] HDC  706 J122548.92+3332482
UGC07524,[CHM2007] LDC  867 J122548.92+3332482
UGC07524,[M98c] 122320.9+334922
UGC07524,[VV2000c] J122548.9+333248
UGC07524,[VV2003c] J122548.9+333248
UGC07524,[VV2006c] J122548.9+333248
UGC07524,[VV98c] J122548.9+333249
UGC07524,[MFH99] A
UGC07524,PBC J1225.7+3331
UGC07524,SWIFT J1225.8+3330
UGC07524,[VV2010c] J122548.9+333248
UGC07524,2XMM J122548.8+333249
UGC07524,SDSS J122548.86+333248.7
UGC07524,[KOV2009] 14
UGC07524,[RGG2013] 21
UGC07524,SWIFT J1225.7+3331
UGC07524,Gaia DR2 4016037658643693696
UGC07524,QSO J1225+3332
UGC07524,NSAID v0  89394
UGC07524,SRGE J122548.6+333247
UGC07603,Gaia DR3 3953002279065621760
UGC07603,HIJASS J1228+22
UGC07603,IRAS F12262+2305
UGC07603,IRAS 12262+2305
UGC07603,ISOSS J12287+2249
UGC07603,KUG 1226+231
UGC07603,Ka 390
UGC07603,LEDA   41066
UGC07603,MCG+04-30-001
UGC07603,NGC  4455
UGC07603,UGC  7603
UGC07603,Was  57
UGC07603,Z 129-2
UGC07603,[DSB94] 127
UGC07603,[SLK2004] 711
UGC07603,[YOF95] 164
UGC07603,CAIRNS J122844.10+224921.0
UGC07603,Z 1226.2+2306
UGC07603,UZC J122844.1+224921
UGC07603,HIPASS J1228+22
UGC07603,SDSS J122844.11+224913.5
UGC07603,EVCC 711
UGC07603,Gaia DR2 3953002279065621760
UGC08286,Gaia DR3 1526656227129407488
UGC08286,2MFGC 10525
UGC08286,FGC 1578
UGC08286,IRAS 13099+4418
UGC08286,KISS F1312-3819
UGC08286,KISSR 1482
UGC08286,LEDA   45849
UGC08286,MCG+07-27-043
UGC08286,NGC  5023
UGC08286,RFGC 2495
UGC08286,UGC  8286
UGC08286,Z 1310.0+4418
UGC08286,Z 217-17
UGC08286,[M98c] 130958.0+441813
UGC08286,2MASX J13121179+4402168
UGC08286,[CHM2007] LDC  867 J131211.79+4402168
UGC08286,[CHM2007] HDC  706 J131211.79+4402168
UGC08286,UZC J131211.8+440217
UGC08286,SDSS J131211.68+440214.4
UGC08490,2MASXI J1329362+582506
UGC08490,2E  3067
UGC08490,IRAS 13277+5840
UGC08490,IRAS F13277+5840
UGC08490,LEDA   47368
UGC08490,MCG+10-19-078
UGC08490,NGC  5204
UGC08490,RX J132937+58250
UGC08490,SPB 219
UGC08490,TC 826
UGC08490,UGC  8490
UGC08490,Z 294-39
UGC08490,[MI94] Sm  90
UGC08490,[VDD93] 186
UGC08490,LCSB L578
UGC08490,2MASX J13293650+5825074
UGC08490,[CHM2007] LDC  842 J132936.50+5825074
UGC08490,1RXS J132938.2+582507
UGC08490,2E 1327.7+5840
UGC08490,RX J1329.6+5825
UGC08490,RX J132938.6+582503
UGC08490,Z 1327.7+5840
UGC08490,[M98c] 132743.8+584032
UGC08490,[ZEH2003] RX J1329.6+5825  1
UGC08490,UZC J132936.5+582509
UGC08490,PSCz Q13277+5840
UGC08550,2MFGC 10921
UGC08550,2MASXI J1334027+475455
UGC08550,FGC 1638
UGC08550,LEDA   47788
UGC08550,MCG+08-25-019
UGC08550,NGC  5229
UGC08550,RFGC 2594
UGC08550,TC 828
UGC08550,UGC  8550
UGC08550,Z 1332.0+4810
UGC08550,Z 246-13
UGC08550,LCSB L583
UGC08550,2MASX J13340283+4754556
UGC08550,UZC J133403.0+475454
UGC08550,SDSS J133402.91+475455.0
UGC08837,Anon 1352+54
UGC08837,DDO 185
UGC08837,Holmberg   IV
UGC08837,LEDA   49448
UGC08837,MCG+09-23-017
UGC08837,TC 295
UGC08837,UGC  8837
UGC08837,Z 272-13
UGC08837,[MI94] Sm  93
UGC08837,Z 1352.9+5409
UGC08837,[M98c] 135255.2+540858
UGC08837,UZC J135445.5+535416
UGC08837,SDSS J135445.60+535420.0
UGC12632,Anon 2327+40
UGC12632,DDO 217
UGC12632,K79 80C
UGC12632,LEDA   71596
UGC12632,MCG+07-48-007
UGC12632,TC 413
UGC12632,UGC 12632
UGC12632,Z 533-8
UGC12632,[BTW2003] J2329+4101
UGC12632,[MI94] Sm 112
UGC12632,Z 2327.6+4043
UGCA444,Anon 2359-15
UGCA444,HIPASS J0001-15
UGCA444,DDO 221
UGCA444,GLXY G071.7-73.5-175
UGCA444,LEDA     143
UGCA444,MCG-03-01-015
UGCA444,NAME Wolf-Lundmark-Melotte
UGCA444,TC 418
UGCA444,UGCA 444
UGCA444,[MI94] Im 162
UGCA444,[M98c] 235923.1-154343
UGCA444,NAME WLM Galaxy
