source_id,ruwe,non_single_star,radial_velocity,radial_velocity_error,rv_nb_transits,rv_renormalised_gof,rv_chisq_pvalue,rv_amplitude_robust,rv_template_teff,phot_g_mean_mag
18493721155296640,1.2710598,0,-0.8678155,5.405586,8,,,,3500.0,14.626608
87368744426906624,1.0698314,0,7.756263,2.515372,10,,,,3300.0,14.058827
99684168011233664,0.9097479,0,1.6751636,0.41112632,8,-1.1746088,0.8554445,2.8494942,5000.0,11.452179
128468660872094720,1.2360492,0,16.277712,1.0292364,6,-0.25534338,0.6129985,5.53349,4500.0,12.628943
348020242217448576,1.521157,0,-28.317282,0.393816,18,-1.5565333,0.8975818,4.3812656,3400.0,12.497144
385942776219158400,1.0384243,0,-13.302231,2.2148767,37,19.163706,0.0,60.61664,4250.0,12.793016
69116748327393536,1.2591625,0,-22.76465,0.52985865,14,-0.87536657,0.83610755,5.5290794,4000.0,11.944057
159209872113202560,1.468175,0,,,,,,,,13.073949
180431717841878656,1.011474,0,74.71427,0.23491387,19,-0.3019295,0.3479212,3.1868591,4750.0,10.258771
191786202624203776,0.97020465,0,20.744192,0.12957071,26,-0.23615602,0.25168976,0.9026451,5750.0,8.161208
192190479305442944,0.9309637,0,14.272,0.38059545,20,-0.9338676,0.8158183,4.8797674,5250.0,11.715032
591952149584297984,1.3573971,0,-13.163486,0.84644884,18,1.0301188,0.23447022,9.481572,3700.0,13.018805
604054817669168640,1.1132511,0,21.2554,0.7170816,18,2.1252775,0.012510246,9.188183,4500.0,12.175135
607348473471575296,1.041326,0,2.6271415,0.73573154,19,2.0566494,0.03463977,11.382069,4000.0,12.433846
214220500437473152,1.1516911,0,-39.149963,0.44724917,24,-2.3313394,0.986452,7.561611,5250.0,11.940134
233369938547947264,1.1293974,0,33.22835,1.695991,25,,,,3500.0,14.280008
238521867779351296,1.0896538,0,10.409172,0.17697434,12,1.0333775,0.36514673,0.82772064,5500.0,8.450065
354631639997245568,1.2003541,0,-72.72086,0.8324301,13,-0.31910783,0.76335734,8.280388,4250.0,12.565785
418608579491456512,0.94968414,0,-8.549826,0.75469875,25,0.57608783,0.23658423,11.875383,4500.0,13.061538
427410238794326144,1.0021491,0,-7.1952677,1.5974033,23,,,,3700.0,13.864752
