name,leg,fgas,cov,theta,d_boot,d_p065,d_gm,abs_share,sd2_share,flag
D512-2,flow,0.1477,-1.3562,26.0545,0.2109,0.1094,0.0856,0.0010,0.0000,
DDO064,flow,0.6789,-1.0575,57.0262,-0.0750,-0.0566,-0.0766,0.0003,0.0000,
DDO161,flow,0.8389,-1.3145,42.3531,0.0143,-0.9985,-0.2062,0.0001,0.0000,
DDO170,flow,0.8057,-1.4342,45.0033,-0.5803,-0.2443,-0.5108,0.0026,0.0000,
ESO079-G014,flow,0.0355,-0.5962,19.3329,-0.4605,-0.2350,-0.2630,0.0021,0.0000,
ESO116-G012,flow,0.2122,-0.7270,13.1692,0.4017,0.0377,0.3978,0.0018,0.0002,
F565-V2,flow,0.7438,-1.4662,25.0465,-0.0472,-0.0525,-0.0113,0.0002,0.0000,
F568-3,flow,0.0794,-1.1497,4.5058,0.4675,0.3380,0.3468,0.0021,0.0000,
F568-V1,flow,0.0522,-1.1271,7.0120,-0.3281,-0.1789,-0.1822,0.0015,0.0000,
F571-8,flow,0.0209,-0.6480,5.1470,-9.3672,-5.2280,-4.2407,0.0423,0.0257,
F571-V1,flow,0.6300,-1.3413,15.0128,-0.1072,-0.0678,-0.1020,0.0005,0.0000,
F574-1,flow,0.1474,-1.2075,5.0075,-0.6718,-0.2963,-0.5254,0.0030,0.0000,
F583-1,flow,0.1628,-1.5550,10.4881,-1.8278,-0.9894,-1.1802,0.0083,0.0003,
F583-4,flow,0.1450,-1.2854,15.1700,0.1554,0.0214,0.0075,0.0007,0.0000,
IC4202,flow,0.0295,-0.1126,3.2665,-0.4334,-0.8315,-1.1796,0.0020,0.0010,
KK98-251,flow,0.7987,-1.2747,42.4663,-0.2548,-0.1603,-0.3191,0.0012,0.0000,
NGC0100,flow,0.1428,-0.9810,24.2934,-0.2773,-0.5469,-0.1269,0.0013,0.0000,
NGC0289,flow,0.5323,-1.1483,75.0686,1.2389,0.9685,0.4448,0.0056,0.0004,
NGC0801,flow,0.0452,-0.2483,2.9905,-3.4324,-2.0631,-1.9550,0.0155,0.0040,
NGC1003,flow,0.5197,-1.3925,37.6343,-1.8750,-2.6675,-1.1624,0.0085,0.0003,
NGC1090,flow,0.1207,-0.6193,8.9196,1.0859,0.2730,0.1906,0.0049,0.0004,
NGC2955,flow,0.0181,0.3138,1.5802,-0.2248,0.2184,0.2640,0.0010,0.0000,
NGC2998,flow,0.1215,-0.4918,7.9962,-0.1056,-0.4312,-0.2197,0.0005,0.0001,
NGC3521,flow,-0.0005,0.5487,18.4835,-0.1889,-0.3320,-0.8799,0.0009,0.0002,
NGC5033,flow,0.1525,-0.6091,9.9848,6.0140,2.9208,2.7738,0.0272,0.0119,
NGC5371,flow,0.0574,-0.1395,7.5336,-16.7037,-8.4640,-9.3911,0.0754,0.0598,
NGC5985,flow,0.0220,-0.2563,18.3924,19.7340,9.8671,12.6698,0.0891,0.1189,
NGC6015,flow,0.1984,-0.6158,4.1253,-1.2033,-1.2767,-0.6345,0.0054,0.0013,
NGC6195,flow,0.0345,0.1139,2.1466,1.0237,-0.1458,0.5414,0.0046,0.0025,
NGC6674,flow,0.1465,-0.9017,30.1743,2.5656,0.8772,1.4126,0.0116,0.0001,
UGC00128,flow,0.6570,-1.4659,11.9922,-1.3372,0.1497,-1.1443,0.0060,0.0000,
UGC00191,flow,0.0553,-0.8887,7.4786,-0.5827,-0.2289,-0.4630,0.0026,0.0000,
UGC00634,flow,0.6606,-1.2317,30.1053,0.2259,0.0217,0.1142,0.0010,0.0000,
UGC00731,flow,0.7945,-1.5332,15.0161,-8.2620,-4.5915,-5.1258,0.0373,0.0156,
UGC00891,flow,0.7445,-1.3769,60.0595,-0.1490,-0.2361,-0.1303,0.0007,0.0000,
UGC02259,flow,0.3364,-1.0539,20.0372,-0.5388,-0.0667,-0.3782,0.0024,0.0000,
UGC02885,flow,0.1240,-0.6260,4.3505,2.0821,1.1484,1.5336,0.0094,0.0020,
UGC02916,flow,0.0179,0.1433,3.5008,4.0583,1.3596,0.9691,0.0183,0.0096,
UGC02953,flow,-0.0001,0.4661,3.2502,12.0481,1.0090,1.7488,0.0544,0.0685,
UGC03205,flow,0.0008,0.0530,3.4240,15.2361,5.8621,9.1190,0.0688,0.0813,
